Scheme Code,Scheme Name,CAGR_3Y,Sharpe_Ratio,Alpha,Expense_Ratio,Maximum_Drawdown,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,,,,0.36,,,,,27.0,,,,,89.21161825726142,,,93
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,,,,1.34,,,,,125.0,,,,,48.54771784232365,,,94
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,,,,0.87,,,,,78.0,,,,,68.04979253112033,,,95
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,,,,2.43,,,,,234.0,,,,,3.319502074688797,,,96
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,,,,2.26,,,,,217.0,,,,,10.37344398340249,,,97
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,,,,1.07,,,,,98.0,,,,,59.75103734439834,,,98
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,,,,0.85,,,,,76.0,,,,,68.87966804979253,,,99
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,,,,0.78,,,,,69.0,,,,,71.78423236514523,,,100
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,,,,1.79,,,,,170.0,,,,,29.87551867219917,,,101
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,,,,1.16,,,,,107.0,,,,,56.016597510373444,,,102
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,,,,1.81,,,,,172.0,,,,,29.045643153526974,,,103
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,,,,1.03,,,,,94.0,,,,,61.41078838174274,,,104
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,,,,2.01,,,,,192.0,,,,,20.74688796680498,,,105
129006,Franklin India Banking & PSU Debt Fund - Growth,,,,0.85,,,,,76.0,,,,,68.87966804979253,,,106
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,,,,2.09,,,,,200.0,,,,,17.42738589211618,,,107
129007,Franklin India Banking and PSU Debt Fund - IDCW ,,,,1.97,,,,,188.0,,,,,22.40663900414938,,,108
128628,HDFC Banking and PSU Debt Fund - Growth Option,,,,2.22,,,,,213.0,,,,,12.033195020746888,,,109
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,,,,0.8,,,,,71.0,,,,,70.95435684647303,,,110
128627,HDFC Banking and PSU Debt Fund - IDCW Option,,,,2.41,,,,,232.0,,,,,4.149377593360995,,,111
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,,,,1.68,,,,,159.0,,,,,34.439834024896264,,,112
